,alegria,medo,nojo,raiva,surpresa,tristeza
amigos,2.3944174074223645,0.4609295090623341,0.4411746590394827,0.44006784634057583,0.549229249505455,0.5030161434745152
hoje,2.287639089995966,1.045623771596165,0.9371322058244002,0.3886600897937035,1.0718116043609516,0.37826840199185147
tarde,2.0951962926181396,0.41439120295845033,0.46457113823194335,0.39320443012183914,0.4229359117147765,0.4000936095911262
dia,1.9235929261523335,0.5516076113990941,0.51515528587715,0.47955089229877046,0.5774553161557324,0.200176179578413
alegria,1.868954134513664,0.38968238149432133,0.3371097942029802,0.3226106861949447,0.41222302832677715,0.40732824429463915
ganhei,1.864332256478711,0.9783619245691569,0.9459253037117972,0.9758360995697294,2.05547671109878,1.0196856397268041
feliz,1.7209029093911052,0.2928228450962459,0.2852021301275226,0.41891037545532334,0.2980090739673191,0.425958484744695
feliz hoje,1.7209029093911052,0.2928228450962459,0.2852021301275226,0.41891037545532334,0.2980090739673191,0.425958484744695
alegrou,1.6946308944540132,0.30364581083703707,0.2906324453681765,0.28872287260521334,0.4956604846016575,0.3159692810419292
orgulhoso,1.5139638502191863,0.2915977568900277,0.2787968861353483,0.27741931056192143,0.3842273943647639,0.2819225022671222
projeto orgulhoso,1.5139638502191863,0.2915977568900277,0.2787968861353483,0.27741931056192143,0.3842273943647639,0.2819225022671222
terminei,1.5139638502191863,0.2915977568900277,0.2787968861353483,0.27741931056192143,0.3842273943647639,0.2819225022671222
terminei projeto,1.5139638502191863,0.2915977568900277,0.2787968861353483,0.27741931056192143,0.3842273943647639,0.2819225022671222
trabalho,1.4594513027842646,0.43924625865467204,0.46752042988781867,0.7940195621342468,0.7205629998660059,0.6261411765100152
completei,1.4384387876234581,0.3029399450214642,0.26968876879745907,0.3052376938406672,0.27593389078795855,0.28463848917590884
contente,1.4384387876234581,0.3029399450214642,0.26968876879745907,0.3052376938406672,0.27593389078795855,0.28463848917590884
fiquei contente,1.4384387876234581,0.3029399450214642,0.26968876879745907,0.3052376938406672,0.27593389078795855,0.28463848917590884
objetivo,1.4384387876234581,0.3029399450214642,0.26968876879745907,0.3052376938406672,0.27593389078795855,0.28463848917590884
objetivo fiquei,1.4384387876234581,0.3029399450214642,0.26968876879745907,0.3052376938406672,0.27593389078795855,0.28463848917590884
animadora,1.3797460963355392,0.22089906988582214,0.21172254734912233,0.2996340530453009,0.2925268207870308,0.35496360526826015
